TABLE_NAME|COLUMN_NAME|COLUMN_ID|DATA_TYPE|DATA_LENGTH|DATA_PRECISION|DATA_SCALE|NULLABLE|DATA_DEFAULT|IDX1_COL_POSITION|IDX2_COL_POSITION|IDX3_COL_POSITION
M_DATA_OBJECT|DATA_OBJCT_GID|1|NUMBER|22|||N||1||
M_DATA_OBJECT|DATA_SRCE_GID|2|NUMBER|22|||N|||1|
M_DATA_OBJECT|DATA_OBJCT_NAM|3|VARCHAR2|30|||N|||2|
M_DATA_OBJECT|DATA_OBJCT_LBL_NAM|4|VARCHAR2|80|||N||||
M_DATA_OBJECT|DATA_OBJCT_ROLE_NAM|5|VARCHAR2|30|||Y||||
M_DATA_OBJECT|DATA_OBJCT_TYP_CDE|6|VARCHAR2|30|||Y||||
M_DATA_OBJECT|LST_UPDT_ID|7|VARCHAR2|60|||N||||
M_DATA_OBJECT|LST_UPDT_TSTMP|8|DATE|7|||N||||
