TABLE_NAME|COLUMN_NAME|COLUMN_ID|DATA_TYPE|DATA_LENGTH|DATA_PRECISION|DATA_SCALE|NULLABLE|DATA_DEFAULT|IDX1_COL_POSITION|IDX2_COL_POSITION|IDX3_COL_POSITION
T_IDVRX_SPCLT_EXCLUDE|CLIENT_GID|1|NUMBER|22|||Y||||
T_IDVRX_SPCLT_EXCLUDE|SLSFC_ID|2|VARCHAR2|3|||Y||||
T_IDVRX_SPCLT_EXCLUDE|SLSFC_GID|3|NUMBER|22|||Y||||
T_IDVRX_SPCLT_EXCLUDE|ENTRP_PRDCT_GID|4|NUMBER|22|||Y||||
T_IDVRX_SPCLT_EXCLUDE|PRMRY_SPCLT_CDE|5|VARCHAR2|3|||Y||||
T_IDVRX_SPCLT_EXCLUDE|CALL_FILE_SPCLT_CDE|6|VARCHAR2|3|||Y||||
T_IDVRX_SPCLT_EXCLUDE|LOAD_ID|7|VARCHAR2|30|||Y||||
T_IDVRX_SPCLT_EXCLUDE|LOAD_TSTMP|8|DATE|7|||Y||||
