TABLE_NAME|COLUMN_NAME|COLUMN_ID|DATA_TYPE|DATA_LENGTH|DATA_PRECISION|DATA_SCALE|NULLABLE|DATA_DEFAULT|IDX1_COL_POSITION|IDX2_COL_POSITION|IDX3_COL_POSITION
M_EXECUTION_STATUS|DLVRY_RUN_GID|1|NUMBER|22|10|0|Y||||
M_EXECUTION_STATUS|TASK_SEQ_NBR|2|NUMBER|22|4|0|Y||||
M_EXECUTION_STATUS|RETRY_CNT|3|NUMBER|22|3|0|Y||||
M_EXECUTION_STATUS|JOB_INTRP_CDE|4|VARCHAR2|20|||Y||||
M_EXECUTION_STATUS|CRTE_ID|5|VARCHAR2|40|||Y||||
M_EXECUTION_STATUS|CRTE_TSTMP|6|DATE|7|||Y||||
M_EXECUTION_STATUS|LST_UPDT_ID|7|VARCHAR2|40|||Y||||
M_EXECUTION_STATUS|LST_UPDT_TSTMP|8|DATE|7|||Y||||
