TABLE_NAME|COLUMN_NAME|COLUMN_ID|DATA_TYPE|DATA_LENGTH|DATA_PRECISION|DATA_SCALE|NULLABLE|DATA_DEFAULT|IDX1_COL_POSITION|IDX2_COL_POSITION|IDX3_COL_POSITION
M_DATA_SOURCE_STATUS|DATA_SRCE_GID|1|NUMBER|22|||N||1||
M_DATA_SOURCE_STATUS|DLVRY_FREQ_CDE|2|VARCHAR2|20|||N||2||
M_DATA_SOURCE_STATUS|MIN_AVLB_DTE|3|DATE|7|||N||||
M_DATA_SOURCE_STATUS|MAX_AVLB_DTE|4|DATE|7|||N||||
M_DATA_SOURCE_STATUS|DATA_SRCE_STUS_TXT|5|VARCHAR2|10|||N||||
M_DATA_SOURCE_STATUS|LST_UPDT_ID|6|VARCHAR2|60|||N||||
M_DATA_SOURCE_STATUS|LST_UPDT_TSTMP|7|DATE|7|||N||||
M_DATA_SOURCE_STATUS|SQL_STMT_TXT|8|VARCHAR2|4000|||Y||||
