TABLE_NAME|COLUMN_NAME|COLUMN_ID|DATA_TYPE|DATA_LENGTH|DATA_PRECISION|DATA_SCALE|NULLABLE|DATA_DEFAULT|IDX1_COL_POSITION|IDX2_COL_POSITION|IDX3_COL_POSITION
M_PARAMETER|PARM_GID|1|NUMBER|22|||N||1||
M_PARAMETER|PARM_CDE|2|VARCHAR2|10|||N|||1|
M_PARAMETER|PARM_NAM|3|VARCHAR2|20|||N||||1
M_PARAMETER|PARM_DESC|4|VARCHAR2|200|||Y||||
M_PARAMETER|PARM_DATA_TYP|5|VARCHAR2|20|||Y||||
M_PARAMETER|PARM_FRMT_TXT|6|VARCHAR2|20|||Y||||
M_PARAMETER|LST_UPDT_ID|7|VARCHAR2|60|||N||||
M_PARAMETER|LST_UPDT_TSTMP|8|DATE|7|||N||||
